erId	pkrgId	name	romDesc	shortDesc	wiredAttrs
534	5263	Cosmic Daze	Attacks against confused and enraged targets deal double damage. Additionally, confused and enraged enemies take twice as much damage when they hurt themselves from those statuses.	Deals 2x damage vs confused and enraged foes.	ConditionalDamageAbAttr
535	299	Mind’s Eye	Mind's Eye allows Normal and Fighting-type moves to hit Ghost-type Pokemon with normal effectiveness. Additionally, this ability prevents the user's accuracy stat from being lowered by opposing moves or abilities.	Hits Ghost-type Pokémon. Accuracy can't be lowered.	IgnoreTypeImmunityAbAttr,ProtectStatAbAttr,IgnoreOpponentStatStagesAbAttr
536	5264	Blood Price	Blood Price boosts all attacking moves by 30%, but the user loses 10% of their max hp when landing an attack.	Does 30% more damage but lose 10% HP when attacking.	MovePowerBoostAbAttr,SelfDamageOnAttackAbAttr
537	5265	Spike Armor	Spike Armor has a 30% chance to inflict bleeding on contact moves, both when attacking and being attacked. Bleeding causes 1/16 max HP damage per turn, prevents healing, and negates the effects of stat stages. Rock and Ghost types are immune to bleeding.	30% chance to bleed on contact or offense.	ChanceBattlerTagOnHitAbAttr,ChanceBattlerTagOnAttackAbAttr
538	5266	Voodoo Power	30% chance to bleed when hit by special attacks.	30% chance to bleed when hit by special attacks.	ChanceBattlerTagOnHitAbAttr
539	5267	Chrome Coat	Chrome Coat reduces special damage by 40% but decreases Speed by 10%. Also triples the user's weight. The damage reduction is multiplicative with other sources.	Reduces special damage taken by 40%, but decreases Speed by 10%.	DamageReductionAbAttr
540	5268	Banshee	Boosts the power of all sound- based moves by 20% and converts Normal-type sound moves to Ghost-type.	Sound moves get a 1.2x boost and become Ghost if Normal.	TypeConversionAbAttr,TypeConversionPowerBoostAbAttr
541	5269	Web Spinner	Uses String Shot on switch in, harshly lowering the Speed of all opponents by 2 stages.	Uses String Shot on switch-in.	PostSummonScriptedMoveAbAttr
542	5270	Showdown Mode	Guarantees a critical hit while also boosting the user's Attack by 20% and their Speed by 50% after switching in. Lasts one turn.	Ambush + Violent Rush.	CritStageBonusAbAttr,FirstTurnStatMultiplierAbAttr,MovePowerBoostAbAttr
543	269	Seed Sower	Activates Grassy Terrain when the Pokemon takes damage from a direct attack, lasting 5 turns (8 with Terrain Extender). Also heals all party Pokemon's status conditions.	Sets Grassy Terrain when hit. Heals party status when it does.	PostDefendTerrainChangeAbAttr
544	5271	Airborne	Increases the power of Flying- type moves by 30% for both the user and its allies in battle.	Boosts own & ally's Flying-type moves by 1.3x.	UserFieldMoveTypePowerBoostAbAttr
545	5272	Parroting	When any Pokemon on the field uses a sound move, this Pokemon immediately uses the same move after. Triggers once per move.	Copies sound moves used by others.	CopyMoveByFilterAbAttr
546	5273	Salt Circle	Prevents all opposing Pokemon from fleeing or switching when user enters battle. Effect lasts until user leaves field. Forced switches and pivot moves like Flip Turn still work.	Prevents opposing pokemon from fleeing on entry.	PostSummonScriptedMoveAbAttr
547	272	Purifying Salt	Immune to all status conditions. Additionally reduces all Ghost- type damage by 50%. If afflicted with status when gaining this ability, conditions are immediately cured.	Immune to status conditions. Take 1/2 damage from Ghost.	StatusEffectImmunityAbAttr,ReceivedTypeDamageMultiplierAbAttr
548	281	Protosynthesis	Boosts the user's highest stat by 50% for Speed or 30% for other stats during sun. When sun ends, Booster Energy activates if held. This is considered a raw stat boost and not a stat raise. Cannot be copied, suppressed, or replaced unless by Simple Beam or Worry Seed.	Boosts highest stat in Sun or with Booster Energy.	PostSummonAddBattlerTagAbAttr,PostWeatherChangeAddBattlerTagAbAttr,NoTransformAbilityAbAttr
549	282	Quark Drive	Boosts the user's highest stat by 50% for Speed or 30% for other stats during electric terrain. When terrain ends, Booster Energy activates if held. This is considered a raw stat boost and not a stat raise. Cannot be copied, suppressed, or replaced unless by Simple Beam or Worry Seed.	Boosts highest stat in Electric Terrain or with Booster Energy.	PostSummonAddBattlerTagAbAttr,PostTerrainChangeAddBattlerTagAttr,NoTransformAbilityAbAttr
550	277	Wind Power	Gain Charged status when hit by wind-based moves or entering in during Tailwind. The Charged status doubles the power of Electric-type moves until used.	Charges up when hit by wind moves or Tailwind starts.	PostDefendApplyBattlerTagAbAttr
551	5274	Impulse	Non-contact moves use Speed stat for damage instead of Attack/Special Attack. Choice Scarf does not affect this ability.	Non-contact moves use the Speed stat for damage.	SpeedBonusToStatAbAttr,SpeedBonusToStatAbAttr
552	5275	Terminal Velocity	Adds 20% of the user's Speed stat to damage when using non- contact moves. Choice Scarf does not affect this ability.	Special moves use 20% of its Speed stat additionally.	SpeedBonusToStatAbAttr
553	275	Guard Dog	Guard Dog prevents forced switching from moves and Red Card. When affected by Intimidate or Scare, it raises the stat by one stage instead of lowering it.	Can't be forced out. Inverts Intimidate effects.	PostIntimidateStatStageChangeAbAttr,ForceSwitchOutImmunityAbAttr
554	271	Anger Shell	When dropping to below 50% HP, the user triggers Shell Smash effects: raising Attack, Special Attack, and Speed by 2 stages each while lowering Defense and Special Defense by 1 stage each. Only activates once per battle. Activates at the last hit of multihit moves.	Applies Shell Smash when reduced below 1/2 HP.	PostDefendHpGatedStatStageChangeAbAttr,PostDefendHpGatedStatStageChangeAbAttr
555	5276	Egoist	Egoist copies stat boosts that enemy Pokemon receive and applies them to itself. Does not copy other Egoist boosts.	Raises its own stats when foes raise theirs.	OnOpponentStatRaiseAbAttr
556	5277	Subdue	Doubles the effectiveness of stat drops from moves. Does not affect self-inflicted stat drops or enemy abilities.	Doubles stat drop effects used by this pokemon.	OutgoingStatDropMultiplierAbAttr
557	5278	Readied Action	Increases the user's Attack stat by 2x for one turn. Multiplicative with other damage boosts. Reapplies after switching in.	Doubles attack on first turn.	FirstTurnStatMultiplierAbAttr
558	5279	Stygian Rush	Grants +1 priority to Dark-type moves when at full HP.	Dark-type moves get +1 priority at max HP.	PriorityModifierAbAttr
559	5280	Guilt Trip	The attacker that delivers the final blow on the user drops their Attack and Special Attack by 2 stages. Only works when fainting from direct damage.	Sharply lowers attacker's Attack and SpAtk when fainting.	OnFaintEffectAbAttr
560	5281	Tidal Rush	Grants +1 priority to Water- type moves when at full HP.	Water-type moves get +1 priority at max HP.	PriorityModifierAbAttr
561	278	Zero to Hero	After switching out, transforms user into Hero Form on entry. Lasts until the end of battle. Cannot be suppressed, swapped, copied, or overridden.	Changes forms after switching out.	NoTransformAbilityAbAttr,NoFusionAbilityAbAttr,PostBattleInitFormChangeAbAttr,PreSwitchOutFormChangeAbAttr,PostSummonMessageAbAttr
562	294	Costar	Costar copies all stat stage changes (positive and negative) from the ally when switching in during doubles battles.	Copies its ally's stat changes on switch-in.	PostSummonCopyAllyStatsAbAttr
563	279	Commander	Allows Tatsugiri to enter an allied Dondozo and become untargetable. Dondozo receives +2 to all stats, cannot switch or be forced out and Tatsugiri becomes unusable. If Dondozo faints, Tatsugiri reappears and can act normally again. Cannot be swapped, copied, or suppressed.	Hops inside an allied Dondozo. Boosts its ally but can't act.	CommanderAbAttr,DoubleBattleChanceAbAttr
564	5282	Tactical Retreat	Automatically switches the user out when any of its stats are lowered, including self drops. Triggers once per battle.	Flees when stats are lowered.	SelfSwitchOnStatLowerAbAttr
565	5283	Vengeful Spirit	Curses the attacker when knocked out by a direct hit. The curse inflicts 25% max HP damage per turn until the cursed Pokemon switches out or faints. Ghost-type attackers are immune to the curse. Boosts the power of Ghost-type moves by 30%, or by 50% at 1/3 HP or lower.	Haunted Spirit + Vengeance.	OnFaintEffectAbAttr,MoveTypePowerBoostAbAttr,MovePowerBoostAbAttr
566	291	Cud Chew	When consuming a berry, the user re-consumes it at the end of the following turn.	Eats berries again at the end of the next turn.	CudChewConsumeBerryAbAttr,CudChewRecordBerryAbAttr
567	296	Armor Tail	Prevents the user and its ally from being targeted by priority moves with priority higher than 0.	Protects itself and ally from priority moves.	FieldPriorityMoveImmunityAbAttr
568	5284	Mind Crunch	Biting moves use the Special Attack (still targets enemy's Defense unless stated otherwise) and deal 30% more damage.	Biting moves use SpAtk and deal 30% more damage.	FlagDamageBoostAbAttr
569	293	Supreme Overlord	Boosts Attack and Special Attack by 10% for each fainted ally on your side, capped at 5 allies maximum for a 50% boost to both stats. Stacks additively with other damage boosts.	Each fainted ally increases Attack and SpAtk by 10%.	PostSummonAddBattlerTagAbAttr
570	5285	Ill Will	Ill Will drains the PP of the move that defeats the user. Has to be a direct hit.	Deletes the PP of the move that faints this Pokemon.	PostDefendMoveDisableAbAttr
571	5286	Fire Scales	Halves all incoming special attack damage. Multiplicative with other sources of damage reduction.	Halves damage taken by Special moves. Does NOT double SpDef.	DamageReductionAbAttr
572	5287	Watch Your Step	Spreads two layers of Spikes on switch-in.	Spreads two layers of Spikes on switch-in.	EntryEffectAbAttr
573	5288	Rapid Response	The user gains a 50% Speed boost and 20% Special Attack boost on their first turn after switching in.	Boosts Speed by 50% + SpAtk by 20% on first turn.	FirstTurnStatMultiplierAbAttr,FirstTurnStatMultiplierAbAttr
574	5289	Sharp Edges	Damages attackers using contact moves for 1/6 of their max HP. Activates on every hit for multihitting moves.	1/6 HP damage when touched.	PostDefendContactDamageAbAttr
575	270	Thermal Exchange	Boosts Attack by one stage when hit by Fire-type moves and grants immunity to burn status. The Attack boost applies immediately after taking damage from any Fire attack. Activates on each hit of a multihit move.	Ups Attack when hit by Fire. Immune to burn.	PostDefendStatStageChangeAbAttr,StatusEffectImmunityAbAttr,PostSummonHealStatusAbAttr
576	283	Good as Gold	Good As Gold grants immunity to all status moves that directly target this Pokemon. Remains vulnerable to status moves that affect the entire field, such as Haze.	Immune to all Status moves, unless whole field is affected.	MoveImmunityAbAttr
577	5290	Sharing Is Caring	All stat changes are shared between all battlers on the field, both positive and negative.	Stat changes are shared between all battlers.	FieldStatShareAbAttr
578	286	Tablets of Ruin	Reduces the Attack stat of every other Pokemon by 25% while the user is out. Multiples of the same Ruin ability do not stack together. Stacks multiplicatively with Attack drops.	Lowers the Attack of other Pokemon by 25%.	FieldMultiplyStatAbAttr,PostSummonMessageAbAttr
579	285	Sword of Ruin	Reduces the Defense stat of every other Pokemon by 25% while the user is out. Multiples of the same Ruin ability do not stack together. Stacks multiplicatively with Defense drops.	Lowers the Defense of other Pokemon by 25%.	FieldMultiplyStatAbAttr,AiMovegenMoveStatsAbAttr,PostSummonMessageAbAttr
580	284	Vessel of Ruin	Reduces the Special Attack stat of every other Pokemon by 25% while the user is out. Multiples of the same Ruin ability do not stack together. Stacks multiplicatively with Special Attack drops.	Lowers the Special Attack of other Pokemon by 25%.	FieldMultiplyStatAbAttr,PostSummonMessageAbAttr
581	287	Beads of Ruin	Reduces the Special Defense stat of every other Pokemon by 25% while the user is out. Multiples of the same Ruin ability do not stack together. Stacks multiplicatively with Special Defense drops.	Lowers the Special Defense of other Pokemon by 25%.	FieldMultiplyStatAbAttr,AiMovegenMoveStatsAbAttr,PostSummonMessageAbAttr
582	5291	Thick Skin	Reduces damage from super- effective attacks by 35%. Multiplicative with other sources of damage reduction.	Takes 35% less damage from Super-effective moves.	DamageReductionAbAttr
583	5292	Gallantry	Negates the first instance of damage received. Moves still connect and secondary effects apply, but damage becomes 0.	Gets no damage for first hit.	PreFaintReviveAbAttr
584	288	Orichalcum Pulse	Sets sun on entry for 8 turns (12 with Heat Rock). While sun is active, boosts the user's Attack by 33%.	Summons sun on entry. Raises Atk by 1.33x in sun.	PostSummonWeatherChangeAbAttr,PostBiomeChangeWeatherChangeAbAttr,StatMultiplierAbAttr,AiMovegenMoveStatsAbAttr
585	5293	Sun Basking	Blocks priority moves and reduces physical attack damage by 50% in sun. Multiplicative with other sources of damage reduction.	Blocks priority and reduces physical damage by 1/2 in sun.	DamageReductionAbAttr
586	5294	Winged King	Super effective attacks are boosted by 33%.	Ups “supereffective” by 33%.	SuperEffectiveMultiplierBoostAbAttr
587	289	Hadron Engine	Sets electric terrain on entry for 8 turns (12 with Terrain Extender). While terrain is active, boosts the user's Special Attack by 33%.	Field becomes Electric. +33% SpAtk in Electric Terrain.	PostSummonTerrainChangeAbAttr,PostBiomeChangeTerrainChangeAbAttr,AiMovegenMoveStatsAbAttr,StatMultiplierAbAttr
588	5295	Iron Serpent	Super effective attacks are boosted by 33%.	Ups “supereffective” by 33%.	SuperEffectiveMultiplierBoostAbAttr
589	5296	Catastrophe	In Sun, Water moves gain the damage boost they receive from rain. In Rain, Fire moves gain the damage boost they receive from sun.	Sun boosts Water. Rain boosts Fire.	WeatherStatMultiplierAbAttr
590	5297	Blademaster	Makes all Keen Edge moves never miss and hit both opposing Pokemon in double battles. Multihit moves will only hit each target one time. Also boosts Keen Edge moves by 30%.	Sweeping Edge + Keen Edge.	ConditionalAlwaysHitAbAttr,FlagDamageBoostAbAttr
591	5298	Celestial Blessing	Restores 1/12 of the user's maximum HP at the end of each turn while under Misty Terrain.	Recovers 1/12 of its health each turn under Misty Terrain.	PassiveRecoveryAbAttr
592	5299	Minion Control	Moves hit an additional time for every healthy party member (max 6 hits). Members that are knocked out or have a status effect will not be counted. The first hit deals full damage while each additional hit deals 10% damage. Each hit rolls secondary effects independently.	Moves hit an extra time for each healthy party member.	PartyCountMultiHitAbAttr
593	5300	Molten Blades	Keen Edge moves are boosted by 30% and have a 20% chance to burn on hit.	Keen Edge + Keen Edge moves have a 20% chance to burn.	ChanceStatusOnAttackAbAttr
594	5301	Haunting Frenzy	Attacks have a 20% chance to flinch. Upon defeating an enemy with a direct hit, the user gains +1 Speed.	20% chance to flinch the opponent. +1 speed on kill.	ChanceBattlerTagOnAttackAbAttr
595	5302	Noise Cancel	Prevents the user and its ally from being targeted by sound moves.	Protects the party from sound-based moves.	UserFieldFlagImmunityAbAttr
596	5303	Radio Jam	20% chance to disable the last move used by the target after landing a sound move. Lasts 4 turns.	Sound-based moves have a 20% chance to inflict disable.	ChanceBattlerTagOnAttackAbAttr
597	5304	Olé!	Reduces the accuracy of all single-target moves aimed at the user by 20%. Spread moves such as Heat Wave retain normal accuracy.	20% chance to evade single-target moves.	ChanceDodgeAbAttr
598	5305	Malicious	On switch-in, lowers all opposing Pokemon's highest offensive stat (Attack or Special Attack) and highest defensive stat (Defense or Special Defense) by 1 stage each.	Lowers the foe's highest Attack and Defense stat.	TargetHighestStatDropAbAttr
599	5306	Dead Power	Boosts the user's Attack stat by 50% and 20% chance to inflict curse on contact moves. Curse inflicts 25% max HP damage per turn until the cursed Pokemon switches out or faints. The Attack boost is multiplicative with other damage boosts.	1.5x Attack boost. 20% chance to curse on contact moves.	StatMultiplierAbAttr,ChanceBattlerTagOnHitAbAttr
600	5307	Brawling Wyvern	Guarantees hits for all moves used by and against the user. Dragon-type moves are treated as punching moves.	No guard + Dragon type moves become punching moves.	AlwaysHitAbAttr,DoubleBattleChanceAbAttr,AddMoveFlagAbAttr
601	5308	Mythical Arrows	Arrow moves moves become Special (deal Special damage and use the Special Attack stat) and deal 30% more damage.	Arrow moves become special and deal 30% more damage.	FlagDamageBoostAbAttr
602	5309	Lawnmower	On switch-in, removes any active terrain and gains a stat boost: Defense +1 when removing Grassy or Electric Terrain, Special Defense +1 when removing Misty, Psychic, or Toxic Terrain.	Removes terrain on switch-in. Stat up if terrain removed.	PostSummonClearTerrainAbAttr
603	5310	Flourish	Boosts Grass-type moves by 50% when Grassy Terrain is active.	Boosts Grass moves by 50% in grassy terrain.	MovePowerBoostAbAttr
604	5311	Desert Spirit	Summons sandstorm on entry, lasting 8 turns (12 with Smooth Stone). During sandstorm, the user's Ground-type moves bypass immunity and hit airborne Pokemon with normal effectiveness. The user is immune to sandstorm damage.	Summons sand on entry. Ground moves hit airborne in sand.	EntryEffectAbAttr,WeatherGroundAirborneAbAttr
605	5312	Contempt	Ignores all the foes' stat stage changes during damage calculations. When the user has their stats lowered by another Pokemon, they raise their Attack by 2 stages.	Unaware + Defiant.	IgnoreOpponentStatStagesAbAttr,PostStatStageChangeStatStageChangeAbAttr
606	5313	Aerialist	The user is immune to Ground- type moves and other ground effects such as Spikes and terrains. Boosts the damage of Flying-type moves by 25%. Additionally, boosts the power of Flying-type moves by another 20%, or by 50% at 1/3 HP or lower.	Levitate + Flock.	AttackTypeImmunityAbAttr,TypeDamageBoostAbAttr
607	308	Tera Shell	At full HP, all attacks towards the user deal not very effective damage regardless of type effectiveness. Activates on each hit of a multihit attack unlike other similar abilities.	All hits will be not very effective while at full HP.	FullHpResistTypeAbAttr
608	302	Toxic Chain	The user has a 30% to badly poison the target after landing any move. Multihits roll the activation chance on each hit.	Moves have a 30% chance to badly poison the foe.	PostAttackApplyStatusEffectAbAttr
609	5314	Parasitic Spores	Gain parasitic spores on entry. Each turn, affected Pokemon lose 1/8 max HP (Ghost types immune). When using contact moves, spread spores to the target. Spores persist until switch-out.	Deals 1/8 HP damage to non-Ghost. Spreads on contact.	PostTurnHurtNonTypedAbAttr
610	310	Poison Puppeteer	When the user applies poison, they also apply confusion. Does not activate from Toxic Spikes.	Poison also inflicts confusion.	ConfusionOnStatusEffectAbAttr
611	5315	Entrance	When the user confuses an opponent, it also infatuates them (cuts their Attack and Special Attack in half) if they are the opposite gender.	Confusion also inflicts infatuation.	ChanceBattlerTagOnAttackAbAttr
612	5316	Rejection	Casts Quash on entry. Quash nullifies most Speed altering effects, including Tailwind, Trick Room, positive priority, Speed stat raises, etc. Negative priority works as normal. Lasts 5 turns.	Applies Quash on switch-in.	PostSummonQuashFoesAbAttr
613	5317	Apple Enlightenment	Halves all incoming physical attack damage. Multiplicative with other sources of damage reduction. Also grants immunity to all non-attack damage sources including entry hazards, weather damage, status conditions, and recoil.	Fur coat + Magic Guard.	ReceivedMoveDamageMultiplierAbAttr,BlockNonDirectDamageAbAttr
614	5318	Balloon Bomb	Uses a 100 BP Explosion or Outburst (whichever is higher) when knocked out. Using explosion moves will always Flinch the target. When hit by any Fire or Flying moves, boost Defense and Special Defense by one stage each. Activates on each hit of a multihit move. Boost applies after the hit lands.	Aftermath + Inflatable	PostFaintContactDamageAbAttr,StatTriggerOnHitAbAttr
615	5319	Flaming Maw	Biting moves moves are boosted by 30% and have a 50% chance to burn the target on hit. Multihits roll the activation chance on each hit.	Strong Jaw + Flaming Jaws	MovePowerBoostAbAttr,ChanceStatusOnAttackAbAttr
616	5320	Demolitionist	Increases the user's Attack stat by 2x, breaks screens, and ignores Protection effects for one turn. Multiplicative with other damage boosts. Reapplies after switching in.	Readied Action + Ignores Protect + screens break on readied turn	FirstTurnStatMultiplierAbAttr,IgnoreProtectOnContactAbAttr
617	5321	Rockhard Will	Boosts the power of Rock-type moves by 20%, or by 50% at 1/3 HP or lower.	Boosts Rock-type moves by 1.2x, or 1.5x when under 1/3 HP.	TypeDamageBoostAbAttr
618	5322	Fragrant Daze	30% chance to inflict confusion on contact moves, both when attacking and being attacked.	30% chance to confuse on contact.	ChanceBattlerTagOnHitAbAttr
619	5323	Low Visibility	Summons Eerie Fog upon entry, lasting 8 turns (12 with Smoke Ball). Fog reduces stat buffs from non-Ghost/Psychic-types by 1 each turn, halves weather- based recovery, grants Ghost/Psychic-types +20% damage reduction from moves, and turns all Curses into the Ghost- type Curse.	Summons Eerie Fog on entry.	EntryEffectAbAttr
620	5324	Old Mariner	If user is Grass-type, they take half damage from Fire-type attacks and deals 2x damage to Fire-type Pokemon with Grass- type moves. Multiplicative with other sources of damage reduction. Grants STAB to Water- type moves regardless of the user's typing. Also provides immunity to being drenched.	Seaweed + Water STAB.	OffensiveTypeMultiplierAbAttr,ReceivedTypeDamageMultiplierAbAttr,StabAddAbAttr
621	5325	Ectoplasm	Boosts the Pokemon's highest attacking stat by 50% during fog.	Ups highest attacking stat by 1.5x in fog.	SelfHighestStatMultiplierAbAttr
622	5326	Beautiful Music	Sound moves gain 50% chance to infatuate targets on hit (cuts their Attack and Special Attack in half).	Sound moves have 50% chance to infatuate, ignoring gender.	ChanceBattlerTagOnAttackAbAttr
623	5327	Surprise!	In fog, counters priority moves with Astonish, a 40 BP Ghost- type attack with +3 priority and always flinches. This ability will activate before the opponent's priority move comes out.	Astonishes enemy priority users in fog.	ChanceBattlerTagOnHitAbAttr
624	5328	Snow Song	Boosts the power of all sound- based moves by 20% and converts Normal-type sound moves to Ice- type.	Sound moves get a 1.2x boost and become Ice if Normal.	TypeConversionAbAttr,TypeConversionPowerBoostAbAttr
625	5329	Greater Spirit	When entering battle during fog, boosts the user's highest stat by one stage.	Ups highest stat by +1 on entry in fog.	SelfHighestStatBoostOnSummonAbAttr
626	5330	Resonance	Sound moves have a 50% chance to inflict bleeding on the target when landing a hit. Bleeding causes 1/16 max HP damage per turn, prevents healing, and negates the effects of stat stages. Rock and Ghost types are immune to bleeding.	Sound moves have a 30% chance to cause bleeding.	ChanceBattlerTagOnAttackAbAttr
627	5331	Ethereal Rush	Boosts the Pokemon's Speed stat by 50% during fog.	This Pokémon's Speed gets a 1.5x boost in fog.	WeatherStatMultiplierAbAttr
628	5332	Pretty Privilege	Grants +1 priority to Fairy-type moves when at full HP.	At full HP, gives +1 priority to its Fairy-type moves.	PriorityModifierAbAttr
629	5333	Shallow Grave	After fainting while fog is active, the user revives at 25% max Hp when sending out your next party member. This still activates when the user faints on the last turn of fog being active.	Revives at 25% HP once after fainting in fog.	PostFaintReviveAbAttr
630	5334	Menacing Situation	Has a 30% chance to inflict Fear on contact moves, both when attacking and being attacked. Fear traps the target for 2 turns and they take 50% more damage. If forced out by moves like Whirlwind, the target loses Fear.	30% chance to Fear on contact. Also works on offense.	ChanceBattlerTagOnHitAbAttr,ChanceBattlerTagOnAttackAbAttr
631	5335	Shiny Lightning	Boosts the user's accuracy by 1.2x, and Thunder never misses.	Grants a 1.2x accuracy boost. Thunder never misses.	StatMultiplierAbAttr,ConditionalAlwaysHitAbAttr
632	5336	Terrify	Upon entering battle, the user drops the Special Attack stat of all opposing Pokemon by two stages.	Lowers foes' Sp. Atk by two stages on entry.	PostSummonStatStageChangeAbAttr
633	5337	Ice Downfall	When hit by a contact move, the user retaliates with Icicle Crash at 60 base power. Icicle Crash has a 20% chance to flinch.	Counters contact with 60BP Icicle Crash.	CounterAttackOnHitAbAttr
634	5338	Last Stand	Defense and Special Defense increase linearly as HP decreases. Multiplier scales from 1.0x at full HP to 1.6x at 0% HP. At 50% HP provides 1.3x boost, at 25% HP provides 1.45x boost.	Def and SpDef increase as HP drops. Max 1.6x.	StatMultiplierAbAttr,StatMultiplierAbAttr
635	5339	Pyroclastic Flow	Makes Fire-type moves super effective against Rock-types instead of resisted. Poison-type moves become super effective against Steel-type Pokemon. Additionally, this Pokemon can inflict poison status on any type.	Molten Down + Corrosion.	OffensiveTypeChartOverrideAbAttr,IgnoreTypeStatusEffectImmunityAbAttr
636	5340	Blood Bath	Immunity to the bleeding. When this Pokemon successfully inflicts bleeding on an opponent, it also gains Fear. Fear traps the target for 2 turns and they take 50% more damage. If forced out by moves like Whirlwind, the target loses Fear.	Immune to bleed. Inflict fear when inflicting bleed.	BattlerTagImmunityAbAttr,ChanceBattlerTagOnAttackAbAttr
637	5341	Battle Aura	Increases each Pokemon's critical hit stage by +2. Includes both allies and opponents.	Boosts each battler's crit rate by +2.	FieldCritBoostAbAttr
638	5342	Bloodlust	Immunity to the bleeding. When this Pokemon successfully inflicts bleeding on an opponent, it also gains Fear. Fear traps the target for 2 turns and they take 50% more damage. If forced out by moves like Whirlwind, the target loses Fear. Also recovers 25% of max HP when scoring a direct KO.	Blood Bath + Soul Eater.	BattlerTagImmunityAbAttr,ChanceBattlerTagOnAttackAbAttr,LifestealOnKoAbAttr
639	5343	Piercing Solo	When landing a sound move, the user inflicts bleeding. Bleeding causes 1/16 max HP damage per turn, prevents healing, and negates the effects of stat stages. Rock and Ghost types are immune to bleeding.	Sound moves cause bleeding.	ChanceBattlerTagOnAttackAbAttr
640	5344	Rhythmic	Each consecutive use of the same move increases damage by 10%. No maximum cap. Resets when switching moves or when moves fail.	Deals 10% more damage for each repeated move use.	RepeatMovePowerBoostAbAttr
641	5345	Chunky Bass Line	After landing any sound move, the user follows up with a 40 BP Earthquake that hits all adjacent Pokemon.	Triggers a 40BP Earthquake after using a sound move.	PostAttackScriptedMoveAbAttr
642	5346	Jackhammer	Hammer moves to hit twice, with each hit dealing 70% of the move's normal damage. Secondary effects roll independently for each hit (except flinch).	Super Slammer moves hit twice for 70% damage.	HitMultiplierAbAttr
643	5347	Denting Blows	Lowers the target's Defense by one stage when hitting with Hammer attacks. Each target can only be affected once per turn. The Defense drop occurs after damage.	Hammer moves lower Defense.	StatDebuffOnFlagAttackAbAttr
644	5348	Ice Cold Hunter	Ice-type moves hit twice in hail for full damage on both hits. User is immune to hail damage. Both hits apply secondary effects independently (except flinch).	Ice-type moves hit twice in hail.	HitMultiplierAbAttr
645	5349	Soul Crusher	Hammer moves gain a 10% damage boost and target Special Defense instead of Defense.	Hammer moves hit SpDef and get a 1.1x power boost.	DefenseStatSwapOnFlagAbAttr
646	5350	Arc Flash	When the user attacks, it has a 50% chance to paralyze the target upon contact. When receiving damage, it has a 50% chance to burn the attacker.	50% chance to burn when hit or paralyze when dealing damage.	ChanceStatusOnHitAbAttr
647	5351	Unicorn	Boosts the power of horn and drill-based attacks by 30%. Converts Normal-type moves to Fairy-type and Fairy STAB. If the user is Fairy-type its Fairy moves have a 10% infatuate chance.	Mighty Horn + Pixilate.	FlagDamageBoostAbAttr,MoveTypeChangeAbAttr,MovePowerBoostAbAttr
648	5352	On the Prowl	All moves with priority 0 or higher gain +1 priority on the user's first turn. Negative priority moves become priority 0 instead of adding +1 priority.	+1 priority for the first turn. Negative priority becomes +0.	ChangeMovePriorityAbAttr
649	5353	Pretentious	Boosts the user's critical hit ratio by one stage whenever it knocks out an opponent with a direct hit.	Dealing a KO raises Crit by one stage.	CritStackOnKoAbAttr
650	5354	Venoblaze Pincers	Boosts all physical moves by 20% damage and they have a 20% chance to either inflict Burn or Poison on contact.	1.2x boost to physical moves and 20% chance to Burn or Poison.	ChanceStatusOnAttackAbAttr
651	5355	Eternal Blessing	Restores 1/12 of the user's maximum HP at the end of each turn while under Misty Terrain. Also restores 33% of maximum HP when switching out. This heal is not blocked by Heal Block.	Celestial Blessing + Regenerator.	PassiveRecoveryAbAttr,PreSwitchOutHealAbAttr
652	5356	Sugar Rush	When consuming or losing a held item, the user's base Speed stat is multiplied by x2. Boost goes away when switching out, gaining a new item, or upon losing the ability. Doubles all beneficial berry effects.	Unburden + Ripen	PostItemLostApplyBattlerTagAbAttr,DoubleBerryEffectAbAttr
653	5357	Rest in Peace	Restores 1/8 of the user's maximum HP at the end of each turn while in fog.	Heals 1/8 of max HP every turn in fog.	PassiveRecoveryAbAttr
654	5358	White Noise	Has a chance to paralyze when attacking or when hit by a move. Has a 10% chance to paralyze on non-contact attacks and a 30% chance to paralyze on contact attacks. Restores 1/8 of the user's maximum HP at the end of each turn while in fog.	Static + Rest in Peace.	PostDefendContactApplyStatusEffectAbAttr,PassiveRecoveryAbAttr
655	5359	Smokey Maneuvers	Fog reduces incoming move accuracy targeting the user by 25%.	Evasion is boosted by 1.25x in fog.	WeatherStatMultiplierAbAttr
656	5360	Tag	When an enemy attempts to switch out, automatically trigger a 20 BP Pursuit to prevent them from leaving.	Attacks switching opponents with a 20BP Pursuit.	OnOpponentSwitchOutAbAttr
657	5361	Power Metal	Boosts the power of all sound- based moves by 20% and converts Normal-type sound moves to Steel-type.	Sound moves get a 1.2x boost and become Steel if Normal.	TypeConversionAbAttr,TypeConversionPowerBoostAbAttr
658	5362	Power Edge	Keen Edge moves gain a 30% damage boost and target Special Defense instead of Defense.	Keen Edge moves target Special Defense and get a 1.3x boost.	DefenseStatSwapOnFlagAbAttr,FlagDamageBoostAbAttr
659	5363	Superconductor	All Steel-type moves become Electric-type instead and receive a 10% power boost.	Steel-type moves become Electric and get a 1.1x boost.	TypeConversionAbAttr,TypeConversionPowerBoostAbAttr
